ID,State,Operating_System,CPU_Manufacturer,CPU_Year,Satisfaction,Budget Processor,OEM of GPU,What Year was your GPU released?,User's GPU Rating,User's Computer Rating
1,Tennessee,Linux,Intel,2011,Yes,Yes,AMD,2013,3,7
2,California,Classic Windows (Vista/XP/2000/ME/98),Other,2003,Yes,No,Other,2019,5,10
3,Delaware,MacOS,AMD,2019,No,Yes,Other,2001,2,1
4,Connecticut,Linux,Intel,2004,Yes,Yes,Intel (Integrated),2005,2,10
5,Alaska,Windows (10/8/7),Intel,2015,Yes,Yes,Nvidea,2014,5,7
6,Arkansas,Windows (10/8/7),Intel,2017,Yes,No,Intel (Integrated),2017,2,7
7,Texas,Windows (10/8/7),AMD,2012,Yes,Yes,Nvidea,2016,4,8
8,Texas,MacOS,Intel,2015,Yes,No,Intel (Integrated),2015,3,6
9,Tennessee,Windows (10/8/7),AMD,2014,No,Yes,Other,1000,1,7
10,Arizona,Windows (10/8/7),Intel,2018,Yes,No,Nvidia,2017,4,8
11,New Mexico,Windows (10/8/7),AMD,2018,Yes,No,AMD,2018,3,7
12,California,MacOS,Other,2016,Yes,No,Other,2016,3,6
13,Missouri,Windows (10/8/7),Intel,2018,Yes,No,Nvidia,2018,5,8
14,Arkansas,Windows (10/8/7),Intel,2017,No,Yes,Nvidia,2016,4,7
15,Massachusetts,Linux,Intel,2015,Yes,No,Nvidia,2014,5,8
16,Tennessee,Windows (10/8/7),Intel,2017,Yes,No,Nvidia,2016,3,5
17,Illinois,Windows (10/8/7),Intel,2018,Yes,No,Intel (Integrated),2016,5,9
18,Texas,Linux,Intel,2018,Yes,No,Nvidia,2018,4,10
19,Iowa,Windows (10/8/7),AMD,2012,Yes,Yes,AMD,2012,4,9
20,Pennsylvania,MacOS,Intel,2015,Yes,No,Other,2015,3,4
21,Georgia,Windows (10/8/7),Intel,2018,Yes,No,Intel (Integrated),2018,4,9
22,Virginia,Windows (10/8/7),Intel,2016,Yes,No,Nvidia,2016,4,8
23,Florida,MacOS,Intel,2009,No,No,Intel (Integrated),2013,3,6
24,California,MacOS,Intel,2014,Yes,No,AMD (Integrated),2014,5,9
25,North Carolina,Linux,Intel,2015,Yes,No,Nvidia,2016,4,7
26,Hawaii,Windows (10/8/7),Intel,2018,Yes,No,Nvidia,2017,4,9
27,Illinois,Classic Windows (Vista/XP/2000/ME/98),Intel,2006,Yes,Yes,AMD,2007,5,7
28,Colorado,Linux,AMD,2011,Yes,Yes,AMD,2017,3,6
29,Kansas,Classic Windows (Vista/XP/2000/ME/98),AMD,2016,Yes,No,AMD,2017,5,8
30,Tennessee,Windows (10/8/7),AMD,2016,Yes,Yes,Nvidia,2017,4,7
31,Rhode Island,Windows (10/8/7),Intel,2017,Yes,No,Nvidia,2018,3,6
32,South Carolina,Windows (10/8/7),AMD,2019,Yes,No,AMD,2018,5,10
